type,height,length,width
NaN,NaN,NaN,NaN
suv,1655,3700,1735
NaN,NaN,NaN,NaN
sedan,1501,3995,1695
sedan,NaN,4549,1748
NaN,NaN,1114,1645
NaN,4187,4456,1820
NaN,1825,3675,1475
sedan,5555,1525,6101
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
hatchback,1544,4000,1694
NaN,3121,NaN,5
NaN,5,NaN,NaN
NaN,1605,3995,1770
suv,NaN,NaN,NaN
suv,1516,1543,1417
muv,1520,1239,1016
sedan,1465,1512,1800
suv,NaN,3426,3426
suv,NaN,NaN,NaN
suv,7,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
suv,NaN,NaN,4661
suv,1601,3999,1734
NaN,NaN,5115,1985
suv,NaN,3993,NaN
NaN,NaN,NaN,NaN
NaN,NaN,394,1704
NaN,1570,3954,1737
suv,NaN,NaN,NaN
NaN,1756,NaN,NaN
NaN,NaN,NaN,NaN
sedan,1525,3995,1704
NaN,1520,3805,1346
hatchback,242,3765,NaN
suv,1837,4903,1869
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,1530,3845,NaN
NaN,1690,4395,1735
NaN,NaN,NaN,NaN
suv,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,1647,3998,1765
NaN,1523,3990,1755
suv,NaN,NaN,4661
suv,1606,3993,1811
NaN,NaN,3993,NaN
NaN,242,NaN,NaN
NaN,NaN,NaN,NaN
